threshold,tp,fp,fn,precision,recall,f1,total_pairs
0.3,2082,1612,96,0.5636166756903086,0.9559228650137741,0.7091280653950953,3694
0.31,2066,1334,112,0.6076470588235294,0.9485766758494031,0.7407673001075655,3400
0.32,2036,1119,142,0.6453248811410459,0.9348025711662076,0.7635477217326082,3155
0.33,1988,924,190,0.6826923076923077,0.9127640036730946,0.781139489194499,2912
0.34,1944,768,234,0.7168141592920354,0.8925619834710744,0.7950920245398773,2712
0.35000000000000003,1887,620,291,0.7526924611088951,0.8663911845730028,0.8055496264674492,2507
0.36000000000000004,1812,506,366,0.7817083692838654,0.8319559228650137,0.806049822064057,2318
0.37000000000000005,1727,402,451,0.8111789572569281,0.7929292929292929,0.8019503134432319,2129
0.38000000000000006,1645,316,533,0.8388577256501785,0.7552800734618916,0.7948779898526214,1961
0.39000000000000007,1553,245,625,0.8637374860956618,0.7130394857667585,0.7811871227364184,1798
0.4000000000000001,1446,198,732,0.8795620437956204,0.6639118457300276,0.7566718995290425,1644
0.4100000000000001,1343,163,835,0.8917662682602921,0.6166207529843893,0.7290988056460369,1506
0.4200000000000001,1232,126,946,0.9072164948453608,0.5656565656565656,0.6968325791855203,1358
0.4300000000000001,1154,96,1024,0.9232,0.5298438934802571,0.6732788798133023,1250
0.4400000000000001,1065,77,1113,0.9325744308231173,0.4889807162534435,0.641566265060241,1142
0.4500000000000001,975,58,1203,0.9438528557599225,0.4476584022038568,0.6072874493927126,1033
0.46000000000000013,899,45,1279,0.9523305084745762,0.41276400367309457,0.5759128763613068,944
0.47000000000000014,813,38,1365,0.9553466509988249,0.37327823691460055,0.5368108286563222,851
0.48000000000000015,747,28,1431,0.9638709677419355,0.34297520661157027,0.505926176769387,775
0.49000000000000016,675,20,1503,0.9712230215827338,0.30991735537190085,0.4698920988513749,695
