threshold,tp,fp,fn,precision,recall,f1,total_pairs
0.3,2082,1612,96,0.5636166756903086,0.9559228650137741,0.7091280653950953,3694
0.32,2036,1119,142,0.6453248811410459,0.9348025711662076,0.7635477217326082,3155
0.35,1887,620,291,0.7526924611088951,0.8663911845730028,0.8055496264674492,2507
0.37,1727,402,451,0.8111789572569281,0.7929292929292929,0.8019503134432319,2129
0.4,1446,198,732,0.8795620437956204,0.6639118457300276,0.7566718995290425,1644
0.42,1232,126,946,0.9072164948453608,0.5656565656565656,0.6968325791855203,1358
0.45,975,58,1203,0.9438528557599225,0.4476584022038568,0.6072874493927126,1033
