min_nonzero,tp,fp,fn,precision,recall,f1,total_pairs
8,1712,724,280,0.7027914614121511,0.8594377510040161,0.7732610659439928,2436
10,1712,606,280,0.7385677308024159,0.8594377510040161,0.794431554524362,2318
12,1712,606,280,0.7385677308024159,0.8594377510040161,0.794431554524362,2318
14,1712,606,280,0.7385677308024159,0.8594377510040161,0.794431554524362,2318
16,1712,606,280,0.7385677308024159,0.8594377510040161,0.794431554524362,2318
18,1712,606,280,0.7385677308024159,0.8594377510040161,0.794431554524362,2318
20,1712,606,280,0.7385677308024159,0.8594377510040161,0.794431554524362,2318
