max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,score,f1,nmae
6,0.07,0.9,0.85,0.07,0.6,0.6299486392122411,0.8120063191153238,0.6431378806423831
6,0.07,0.9,0.8,0.07,0.6,0.6299486392122411,0.8120063191153238,0.6431378806423831
7,0.07,0.9,0.85,0.03,0.5,0.6299147477224947,0.8120063191153238,0.6432226093667489
7,0.07,0.9,0.8,0.03,0.5,0.6299147477224947,0.8120063191153238,0.6432226093667489
5,0.07,0.85,0.9,0.05,0.4,0.6299038039496943,0.8120063191153238,0.64324996879875
6,0.07,0.85,0.9,0.03,0.6,0.6299005377095053,0.8120063191153238,0.6432581343992226
5,0.09,0.9,0.85,0.07,0.4,0.6298986418689352,0.8120063191153238,0.6432628740006477
5,0.09,0.9,0.8,0.07,0.4,0.6298986418689352,0.8120063191153238,0.6432628740006477
6,0.07,0.8,0.8,0.03,0.6,0.6298679411332294,0.8120063191153238,0.6433396258399121
6,0.07,0.8,0.85,0.03,0.6,0.6298679411332294,0.8120063191153238,0.6433396258399121
5,0.09,0.85,0.9,0.05,0.5,0.6298642158843509,0.8120063191153238,0.6433489389621083
6,0.07,0.8,0.85,0.07,0.5,0.6298552366214789,0.8120063191153238,0.6433713871192884
6,0.07,0.8,0.8,0.07,0.5,0.6298552366214789,0.8120063191153238,0.6433713871192884
5,0.07,0.85,0.9,0.03,0.4,0.6298313810603472,0.8120063191153238,0.6434310260221177
6,0.08,0.9,0.85,0.05,0.6,0.6298270737922771,0.8120063191153238,0.6434417941922931
6,0.08,0.9,0.8,0.05,0.6,0.6298270737922771,0.8120063191153238,0.6434417941922931
5,0.07,0.8,0.9,0.03,0.5,0.629823616898479,0.8120063191153238,0.6434504364267881
5,0.09,0.9,0.8,0.05,0.4,0.6298212237373911,0.8120063191153238,0.6434564193295078
5,0.09,0.9,0.85,0.05,0.4,0.6298212237373911,0.8120063191153238,0.6434564193295078
5,0.09,0.9,0.9,0.07,0.5,0.6297727918496061,0.8120063191153238,0.6435774990489705
7,0.08,0.8,0.9,0.07,0.6,0.6297692254315493,0.8120063191153238,0.6435864150941124
5,0.07,0.9,0.85,0.07,0.5,0.6297291687221659,0.8120063191153238,0.643686556867571
5,0.07,0.9,0.8,0.07,0.5,0.6297291687221659,0.8120063191153238,0.643686556867571
6,0.09,0.8,0.9,0.07,0.5,0.6296892376311329,0.8120063191153238,0.6437863845951534
6,0.07,0.9,0.9,0.07,0.5,0.6296710837419925,0.8120063191153238,0.6438317693180042
7,0.07,0.8,0.9,0.07,0.6,0.6296506984974862,0.8120063191153238,0.6438827324292701
6,0.09,0.8,0.85,0.03,0.4,0.62964325299086,0.8120063191153238,0.6439013461958357
6,0.09,0.8,0.8,0.03,0.4,0.62964325299086,0.8120063191153238,0.6439013461958357
7,0.08,0.85,0.8,0.03,0.4,0.6296317290810967,0.8120063191153238,0.6439301559702441
7,0.08,0.85,0.85,0.03,0.4,0.6296317290810967,0.8120063191153238,0.6439301559702441
7,0.08,0.85,0.9,0.07,0.4,0.6296140452003375,0.8120063191153238,0.643974365672142
7,0.08,0.8,0.8,0.05,0.4,0.6296052258951907,0.8120063191153238,0.6439964139350087
7,0.08,0.8,0.85,0.05,0.4,0.6296052258951907,0.8120063191153238,0.6439964139350087
5,0.08,0.9,0.85,0.03,0.5,0.6296011036877497,0.8120063191153238,0.6440067194536114
5,0.08,0.9,0.8,0.03,0.5,0.6296011036877497,0.8120063191153238,0.6440067194536114
7,0.07,0.8,0.9,0.03,0.6,0.629589385957526,0.8120063191153238,0.6440360137791707
6,0.08,0.8,0.8,0.07,0.5,0.6295741915804614,0.8120063191153238,0.6440739997218322
6,0.08,0.8,0.85,0.07,0.5,0.6295741915804614,0.8120063191153238,0.6440739997218322
7,0.08,0.9,0.9,0.05,0.6,0.6295710730527169,0.8120063191153238,0.6440817960411936
6,0.08,0.8,0.9,0.05,0.6,0.6295213077692168,0.8120063191153238,0.6442062092499437
6,0.07,0.9,0.85,0.07,0.5,0.6295128214791244,0.8120063191153238,0.6442274249751748
6,0.07,0.9,0.8,0.07,0.5,0.6295128214791244,0.8120063191153238,0.6442274249751748
6,0.09,0.8,0.9,0.07,0.6,0.6295113465530742,0.8120063191153238,0.6442311122903002
6,0.08,0.85,0.8,0.05,0.4,0.629510013072511,0.8120063191153238,0.6442344459917082
6,0.08,0.85,0.85,0.05,0.4,0.629510013072511,0.8120063191153238,0.6442344459917082
5,0.08,0.85,0.8,0.07,0.4,0.6294682932998563,0.8120063191153238,0.6443387454233449
5,0.08,0.85,0.85,0.07,0.4,0.6294682932998563,0.8120063191153238,0.6443387454233449
6,0.09,0.85,0.8,0.07,0.4,0.6294572057569484,0.8120063191153238,0.6443664642806146
6,0.09,0.85,0.85,0.07,0.4,0.6294572057569484,0.8120063191153238,0.6443664642806146
6,0.07,0.85,0.9,0.07,0.5,0.62945309558776,0.8120063191153238,0.6443767397035857
7,0.07,0.85,0.9,0.03,0.4,0.6294491188714326,0.8120063191153238,0.644386681494404
5,0.08,0.8,0.9,0.07,0.6,0.6294438927793037,0.8120063191153238,0.6443997467247266
6,0.08,0.8,0.9,0.07,0.4,0.629408161491125,0.8120063191153238,0.6444890749451733
7,0.07,0.9,0.8,0.07,0.5,0.6293912014871147,0.8120063191153238,0.6445314749551989
7,0.07,0.9,0.85,0.07,0.5,0.6293912014871147,0.8120063191153238,0.6445314749551989
6,0.08,0.9,0.8,0.03,0.4,0.6293623011840397,0.8120063191153238,0.6446037257128864
6,0.08,0.9,0.85,0.03,0.4,0.6293623011840397,0.8120063191153238,0.6446037257128864
5,0.08,0.9,0.9,0.03,0.6,0.6293562820326518,0.8120063191153238,0.6446187735913562
7,0.08,0.8,0.85,0.07,0.6,0.6293442984256132,0.8120063191153238,0.6446487326089527
7,0.08,0.8,0.8,0.07,0.6,0.6293442984256132,0.8120063191153238,0.6446487326089527
6,0.07,0.9,0.85,0.05,0.5,0.6293291068975881,0.8120063191153238,0.6446867114290153
6,0.07,0.9,0.8,0.05,0.5,0.6293291068975881,0.8120063191153238,0.6446867114290153
5,0.08,0.9,0.8,0.07,0.6,0.6293056059046566,0.8120063191153238,0.6447454639113442
5,0.08,0.9,0.85,0.07,0.6,0.6293056059046566,0.8120063191153238,0.6447454639113442
6,0.09,0.8,0.85,0.05,0.6,0.6293023365320948,0.8120063191153238,0.6447536373427488
6,0.09,0.8,0.8,0.05,0.6,0.6293023365320948,0.8120063191153238,0.6447536373427488
5,0.07,0.85,0.9,0.07,0.6,0.6292988355103042,0.8120063191153238,0.6447623898972252
5,0.07,0.8,0.9,0.05,0.6,0.6292945347436099,0.8120063191153238,0.6447731418139611
6,0.07,0.8,0.85,0.07,0.6,0.6292911913898014,0.8120063191153238,0.6447815001984821
6,0.07,0.8,0.8,0.07,0.6,0.6292911913898014,0.8120063191153238,0.6447815001984821
5,0.09,0.9,0.9,0.03,0.5,0.6292910846499932,0.8120063191153238,0.6447817670480027
7,0.09,0.8,0.8,0.07,0.6,0.6292901830446744,0.8120063191153238,0.6447840210612996
7,0.09,0.8,0.85,0.07,0.6,0.6292901830446744,0.8120063191153238,0.6447840210612996
5,0.08,0.8,0.9,0.07,0.4,0.6292707338787875,0.8120063191153238,0.644832643976017
6,0.07,0.85,0.85,0.05,0.4,0.6292558715473701,0.8120063191153238,0.6448697998045605
6,0.07,0.85,0.8,0.05,0.4,0.6292558715473701,0.8120063191153238,0.6448697998045605
5,0.07,0.9,0.85,0.03,0.4,0.6292525198122739,0.8120063191153238,0.6448781791423008
5,0.07,0.9,0.8,0.03,0.4,0.6292525198122739,0.8120063191153238,0.6448781791423008
5,0.08,0.9,0.9,0.07,0.6,0.62924722991534,0.8120063191153238,0.6448914038846357
6,0.09,0.8,0.85,0.07,0.4,0.6292364273570263,0.8120063191153238,0.6449184102804199
6,0.09,0.8,0.8,0.07,0.4,0.6292364273570263,0.8120063191153238,0.6449184102804199
5,0.07,0.85,0.9,0.07,0.5,0.6292268614126355,0.8120063191153238,0.6449423251413969
5,0.09,0.85,0.9,0.03,0.5,0.6292259829026648,0.8120063191153238,0.6449445214163235
7,0.08,0.8,0.9,0.07,0.5,0.6292198444428552,0.8120063191153238,0.6449598675658478
5,0.09,0.9,0.8,0.07,0.6,0.6292059655777713,0.8120063191153238,0.6449945647285575
5,0.09,0.9,0.85,0.07,0.6,0.6292059655777713,0.8120063191153238,0.6449945647285575
5,0.08,0.8,0.9,0.03,0.5,0.6292017317007115,0.8120063191153238,0.645005149421207
7,0.08,0.85,0.9,0.05,0.5,0.6291928963369391,0.8120063191153238,0.6450272378306379
6,0.09,0.85,0.85,0.07,0.6,0.6291645708340776,0.8120063191153238,0.6450980515877918
6,0.09,0.85,0.8,0.07,0.6,0.6291645708340776,0.8120063191153238,0.6450980515877918
6,0.09,0.9,0.85,0.05,0.4,0.6291574131322286,0.8120063191153238,0.6451159458424142
6,0.09,0.9,0.8,0.05,0.4,0.6291574131322286,0.8120063191153238,0.6451159458424142
6,0.08,0.9,0.85,0.07,0.4,0.6291318561753794,0.8120063191153238,0.6451798382345374
6,0.08,0.9,0.8,0.07,0.4,0.6291318561753794,0.8120063191153238,0.6451798382345374
5,0.08,0.9,0.85,0.07,0.4,0.6291211263645937,0.8120063191153238,0.6452066627615013
5,0.08,0.9,0.8,0.07,0.4,0.6291211263645937,0.8120063191153238,0.6452066627615013
5,0.08,0.9,0.85,0.05,0.4,0.6291210952719292,0.8120063191153238,0.6452067404931628
5,0.08,0.9,0.8,0.05,0.4,0.6291210952719292,0.8120063191153238,0.6452067404931628
5,0.08,0.8,0.9,0.03,0.6,0.6291077785257113,0.8120063191153238,0.6452400323587074
6,0.08,0.85,0.9,0.07,0.6,0.629107074343351,0.8120063191153238,0.6452417928146083
7,0.08,0.8,0.9,0.05,0.6,0.6290810332442037,0.8120063191153238,0.6453068955624764
5,0.07,0.8,0.85,0.07,0.5,0.6290614249233395,0.8120063191153238,0.645355916364637
5,0.07,0.8,0.8,0.07,0.5,0.6290614249233395,0.8120063191153238,0.645355916364637
5,0.07,0.9,0.8,0.07,0.4,0.6290510456992755,0.8120063191153238,0.645381864424797
5,0.07,0.9,0.85,0.07,0.4,0.6290510456992755,0.8120063191153238,0.645381864424797
6,0.07,0.85,0.85,0.05,0.6,0.6290497649794999,0.8120063191153238,0.6453850662242359
6,0.07,0.85,0.8,0.05,0.6,0.6290497649794999,0.8120063191153238,0.6453850662242359
7,0.09,0.8,0.85,0.07,0.5,0.6290406613146484,0.8120063191153238,0.6454078253863648
7,0.09,0.8,0.8,0.07,0.5,0.6290406613146484,0.8120063191153238,0.6454078253863648
6,0.08,0.85,0.9,0.07,0.5,0.6290215840894999,0.8120063191153238,0.645455518449236
6,0.08,0.9,0.9,0.05,0.6,0.6290107018188661,0.8120063191153238,0.6454827241258204
6,0.07,0.9,0.85,0.03,0.4,0.6289654576482476,0.8120063191153238,0.6455958345523666
6,0.07,0.9,0.8,0.03,0.4,0.6289654576482476,0.8120063191153238,0.6455958345523666
5,0.08,0.85,0.85,0.07,0.5,0.6289628981912642,0.8120063191153238,0.6456022331948253
5,0.08,0.85,0.8,0.07,0.5,0.6289628981912642,0.8120063191153238,0.6456022331948253
6,0.08,0.8,0.9,0.05,0.5,0.6289220075671008,0.8120063191153238,0.6457044597552336
5,0.07,0.9,0.9,0.07,0.4,0.6289209541194598,0.8120063191153238,0.6457070933743361
7,0.08,0.8,0.8,0.05,0.5,0.6289037528209793,0.8120063191153238,0.6457500966205373
7,0.08,0.8,0.85,0.05,0.5,0.6289037528209793,0.8120063191153238,0.6457500966205373
6,0.09,0.9,0.9,0.05,0.4,0.6288904382283111,0.8120063191153238,0.6457833831022078
5,0.08,0.85,0.9,0.05,0.6,0.6288447765779226,0.8120063191153238,0.6458975372281791
6,0.09,0.85,0.85,0.07,0.5,0.6288215655462501,0.8120063191153238,0.6459555648073605
6,0.09,0.85,0.8,0.07,0.5,0.6288215655462501,0.8120063191153238,0.6459555648073605
5,0.07,0.85,0.9,0.03,0.6,0.6288056744673556,0.8120063191153238,0.6459952925045968
6,0.07,0.8,0.9,0.03,0.6,0.6288017589412651,0.8120063191153238,0.646005081319823
6,0.07,0.85,0.9,0.07,0.6,0.6287996935764514,0.8120063191153238,0.6460102447318573
7,0.07,0.8,0.9,0.05,0.6,0.6287878814371882,0.8120063191153238,0.6460397750800151
6,0.08,0.85,0.8,0.05,0.5,0.6287872104823347,0.8120063191153238,0.646041452467149
6,0.08,0.85,0.85,0.05,0.5,0.6287872104823347,0.8120063191153238,0.646041452467149
6,0.08,0.9,0.9,0.03,0.5,0.6287687360093156,0.8120063191153238,0.6460876386496968
6,0.07,0.85,0.9,0.03,0.4,0.6287641032614071,0.8120063191153238,0.646099220519468
7,0.09,0.9,0.8,0.03,0.6,0.628762490427168,0.8120063191153238,0.6461032526050656
7,0.09,0.9,0.85,0.03,0.6,0.628762490427168,0.8120063191153238,0.6461032526050656
5,0.07,0.9,0.9,0.07,0.5,0.6287624786778905,0.8120063191153238,0.6461032819782596
5,0.08,0.9,0.85,0.05,0.6,0.6287543534266811,0.8120063191153238,0.6461235951062831
5,0.08,0.9,0.8,0.05,0.6,0.6287543534266811,0.8120063191153238,0.6461235951062831
6,0.09,0.8,0.8,0.03,0.5,0.6287542302178538,0.8120063191153238,0.6461239031283511
6,0.09,0.8,0.85,0.03,0.5,0.6287542302178538,0.8120063191153238,0.6461239031283511
5,0.08,0.9,0.9,0.05,0.5,0.6287320118573466,0.8120063191153238,0.6461794490296191
7,0.07,0.8,0.9,0.07,0.5,0.6287207713921268,0.8120063191153238,0.6462075501926686
5,0.08,0.85,0.8,0.05,0.5,0.6287205249470286,0.8120063191153238,0.6462081663054143
5,0.08,0.85,0.85,0.05,0.5,0.6287205249470286,0.8120063191153238,0.6462081663054143
6,0.08,0.8,0.8,0.05,0.4,0.6287098302733152,0.8120063191153238,0.6462349029896978
6,0.08,0.8,0.85,0.05,0.4,0.6287098302733152,0.8120063191153238,0.6462349029896978
5,0.07,0.8,0.9,0.03,0.4,0.6287049381291536,0.8120063191153238,0.6462471333501015
7,0.08,0.9,0.8,0.07,0.4,0.6286679352976497,0.8120063191153238,0.6463396404288614
7,0.08,0.9,0.85,0.07,0.4,0.6286679352976497,0.8120063191153238,0.6463396404288614
5,0.07,0.9,0.9,0.03,0.4,0.6286502681070651,0.8120063191153238,0.6463838084053228
5,0.07,0.8,0.9,0.07,0.4,0.6286470147093868,0.8120063191153238,0.6463919418995189
6,0.07,0.8,0.9,0.05,0.6,0.6286322375832271,0.8120063191153238,0.6464288847149181
7,0.07,0.8,0.85,0.03,0.6,0.6286244547477292,0.8120063191153238,0.6464483418036626
7,0.07,0.8,0.8,0.03,0.6,0.6286244547477292,0.8120063191153238,0.6464483418036626
6,0.08,0.9,0.9,0.05,0.4,0.6286129212327058,0.8120063191153238,0.6464771755912211
7,0.09,0.8,0.9,0.07,0.6,0.628608560035995,0.8120063191153238,0.6464880785829984
7,0.07,0.8,0.85,0.05,0.4,0.6286063795334292,0.8120063191153238,0.6464935298394127
7,0.07,0.8,0.8,0.05,0.4,0.6286063795334292,0.8120063191153238,0.6464935298394127
6,0.08,0.9,0.9,0.07,0.6,0.6286058979410825,0.8120063191153238,0.6464947338202796
5,0.09,0.9,0.8,0.03,0.5,0.6286005202344382,0.8120063191153238,0.6465081780868902
5,0.09,0.9,0.85,0.03,0.5,0.6286005202344382,0.8120063191153238,0.6465081780868902
5,0.08,0.85,0.8,0.05,0.6,0.6285905792080391,0.8120063191153238,0.6465330306528881
5,0.08,0.85,0.85,0.05,0.6,0.6285905792080391,0.8120063191153238,0.6465330306528881
7,0.08,0.9,0.8,0.05,0.5,0.6285902200447004,0.8120063191153238,0.6465339285612345
7,0.08,0.9,0.85,0.05,0.5,0.6285902200447004,0.8120063191153238,0.6465339285612345
7,0.08,0.8,0.85,0.03,0.4,0.6285738310156659,0.8120063191153238,0.6465749011338211
7,0.08,0.8,0.8,0.03,0.4,0.6285738310156659,0.8120063191153238,0.6465749011338211
5,0.08,0.85,0.85,0.07,0.6,0.6285502046377659,0.8120063191153238,0.6466339670785709
5,0.08,0.85,0.8,0.07,0.6,0.6285502046377659,0.8120063191153238,0.6466339670785709
6,0.09,0.9,0.85,0.03,0.4,0.6285465493352563,0.8120063191153238,0.6466431053348449
6,0.09,0.9,0.8,0.03,0.4,0.6285465493352563,0.8120063191153238,0.6466431053348449
6,0.07,0.85,0.8,0.07,0.6,0.6285424839302707,0.8120063191153238,0.6466532688473091
6,0.07,0.85,0.85,0.07,0.6,0.6285424839302707,0.8120063191153238,0.6466532688473091
6,0.07,0.9,0.9,0.05,0.4,0.628529597234242,0.8120063191153238,0.6466854855873808
5,0.07,0.8,0.8,0.03,0.6,0.6285192397667584,0.8120063191153238,0.6467113792560898
5,0.07,0.8,0.85,0.03,0.6,0.6285192397667584,0.8120063191153238,0.6467113792560898
5,0.07,0.8,0.85,0.07,0.4,0.6284982549522835,0.8120063191153238,0.6467638412922768
5,0.07,0.8,0.8,0.07,0.4,0.6284982549522835,0.8120063191153238,0.6467638412922768
5,0.09,0.85,0.85,0.07,0.5,0.6284797072177783,0.8120063191153238,0.6468102106285397
5,0.09,0.85,0.8,0.07,0.5,0.6284797072177783,0.8120063191153238,0.6468102106285397
5,0.09,0.8,0.9,0.03,0.5,0.6284771358097755,0.8120063191153238,0.6468166391485469
6,0.07,0.85,0.85,0.05,0.5,0.6284712521144603,0.8120063191153238,0.6468313483868349
6,0.07,0.85,0.8,0.05,0.5,0.6284712521144603,0.8120063191153238,0.6468313483868349
5,0.08,0.85,0.9,0.07,0.6,0.6284251114216922,0.8120063191153238,0.6469467001187552
7,0.07,0.8,0.9,0.05,0.4,0.6284199600108137,0.8120063191153238,0.6469595786459515
7,0.08,0.85,0.8,0.03,0.6,0.6283827291861703,0.8120063191153238,0.6470526557075599
7,0.08,0.85,0.85,0.03,0.6,0.6283827291861703,0.8120063191153238,0.6470526557075599
7,0.07,0.85,0.85,0.05,0.5,0.6283735982124907,0.8120063191153238,0.6470754831417588
7,0.07,0.85,0.8,0.05,0.5,0.6283735982124907,0.8120063191153238,0.6470754831417588
7,0.09,0.85,0.85,0.07,0.6,0.6283504000346449,0.8120063191153238,0.6471334785863733
7,0.09,0.85,0.8,0.07,0.6,0.6283504000346449,0.8120063191153238,0.6471334785863733
6,0.09,0.85,0.9,0.03,0.4,0.6283476204525872,0.8120063191153238,0.6471404275415178
